id_vict,x,y,sobr,tri
200,0,-12,0.0,2
53,-26,-42,0.0,1
74,-20,-43,0.0,0
54,-26,-40,0.0,2
36,-33,-38,0.0,2
31,-34,-38,0.0,0
12,-42,-46,0.0,0
6,-44,-45,0.0,1
2,-45,-45,0.0,2
3,-45,-44,0.0,1
4,-45,-43,0.0,0
8,-43,-43,0.0,2
0,-46,-43,0.0,2
16,-41,-40,0.0,3
25,-38,-37,0.0,2
22,-39,-35,0.0,2
13,-42,-38,0.0,2
9,-43,-37,0.0,2
1,-46,-39,0.0,1
20,-39,-44,0.0,3
24,-38,-45,0.0,1
21,-39,-43,0.0,3
42,-30,-44,0.0,3
43,-30,-43,0.0,0
44,-30,-42,0.0,2
47,-29,-41,0.0,3
35,-33,-42,0.0,2
27,-36,-36,0.0,2
26,-36,-37,0.0,2
28,-36,-34,0.0,2
32,-34,-33,0.0,0
46,-30,-31,0.0,1
48,-29,-31,0.0,2
52,-27,-33,0.0,1
49,-28,-33,0.0,2
50,-28,-32,0.0,0
37,-33,-34,0.0,1
40,-31,-36,0.0,2
58,-25,-36,0.0,1
45,-30,-36,0.0,1
38,-32,-39,0.0,0
39,-31,-40,0.0,1
73,-20,-46,0.0,2
77,-16,-45,0.0,3
79,-16,-24,0.0,0
78,-16,-25,0.0,2
75,-19,-25,0.0,1
72,-19,-22,0.0,0
95,-10,-17,0.0,1
96,-8,-23,0.0,3
76,-18,-32,0.0,0
56,-26,-29,0.0,1
55,-26,-31,0.0,0
71,-23,-15,0.0,2
51,-28,-29,0.0,2
41,-31,-27,0.0,0
30,-35,-30,0.0,1
33,-34,-29,0.0,3
34,-34,-27,0.0,0
69,-30,-22,0.0,2
67,-33,-19,0.0,0
64,-39,-18,0.0,2
63,-40,-18,0.0,3
59,-45,-18,0.0,1
60,-44,-18,0.0,3
62,-41,-16,0.0,0
66,-35,-17,0.0,0
68,-33,-17,0.0,3
29,-36,-30,0.0,0
18,-41,-30,0.0,0
14,-42,-30,0.0,3
10,-43,-29,0.0,3
15,-42,-28,0.0,0
11,-43,-27,0.0,1
19,-40,-25,0.0,3
65,-37,-21,0.0,1
23,-39,-26,0.0,0
61,-41,-23,0.0,3
5,-45,-27,0.0,2
213,6,-39,0.0,3
232,14,-45,0.0,2
236,15,-45,0.0,1
233,14,-44,0.0,1
237,15,-44,0.0,3
238,15,-43,0.0,1
240,17,-44,0.0,0
243,18,-41,0.0,3
244,18,-40,0.0,2
239,15,-42,0.0,3
234,14,-42,0.0,3
231,13,-40,0.0,2
235,14,-41,0.0,3
211,5,-42,0.0,0
206,3,-44,0.0,2
99,-5,-29,0.0,1
98,-6,-22,0.0,0
101,0,-29,0.0,1
219,8,-23,0.0,2
223,9,-25,0.0,1
224,9,-19,0.0,3
227,12,-28,0.0,3
242,17,-40,0.0,0
241,17,-42,0.0,0
252,23,-38,0.0,0
256,24,-37,0.0,0
220,9,-37,0.0,1
214,7,-38,0.0,3
207,3,-41,0.0,2
204,1,-43,0.0,0
100,-2,-44,0.0,3
97,-6,-44,0.0,2
205,2,-46,0.0,0
221,9,-31,0.0,2
215,7,-34,0.0,1
212,6,-35,0.0,2
216,7,-31,0.0,3
222,9,-30,0.0,3
209,5,-29,0.0,2
229,13,-23,0.0,3
208,3,-24,0.0,1
210,5,-19,0.0,0
57,-25,-39,0.0,2
94,-10,-39,0.0,0
17,-41,-37,0.0,3
7,-44,-37,0.0,0
70,-26,-14,0.0,0
87,-13,-12,0.0,3
89,-12,-8,0.0,1
88,-12,-9,0.0,0
90,-10,-7,0.0,1
91,-7,-8,0.0,1
93,-1,-5,0.0,1
84,-23,-5,0.0,1
81,-30,-6,0.0,2
86,-20,-12,0.0,2
83,-24,-12,0.0,2
